Indicador,Nível_Territorial,Abertura_Territorial,Variável_de_abertura,Categoria,Variável_de_abertura_2,Categoria_2,2016,2017,2018
Taxa de analfabetismo (%),Unidade da Federação,Alagoas,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,19.4,18.3,17.2
Taxa de analfabetismo (%),Unidade da Federação,Alagoas,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,20.9,19.6,18.5
Taxa de analfabetismo (%),Unidade da Federação,Alagoas,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,24.6,22.8,21.5
Taxa de analfabetismo (%),Unidade da Federação,Alagoas,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,33,30.5,29.2
Taxa de analfabetismo (%),Unidade da Federação,Alagoas,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,46.1,42.2,41.1
Taxa de analfabetismo (%),Unidade da Federação,Sergipe,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,14.7,14.5,13.9
Taxa de analfabetismo (%),Unidade da Federação,Sergipe,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,15.7,15.6,14.8
Taxa de analfabetismo (%),Unidade da Federação,Sergipe,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,18.4,18.2,17.5
Taxa de analfabetismo (%),Unidade da Federação,Sergipe,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,25.7,25.6,24.8
Taxa de analfabetismo (%),Unidade da Federação,Sergipe,Sexo,Total,Grupos de idade - analfabetismo,60 anos ou mais,39.9,40.6,38.6
Taxa de analfabetismo (%),Unidade da Federação,Bahia,Sexo,Total,Grupos de idade - analfabetismo,15 anos ou mais,13,12.7,12.7
Taxa de analfabetismo (%),Unidade da Federação,Bahia,Sexo,Total,Grupos de idade - analfabetismo,18 anos ou mais,14,13.6,13.5
Taxa de analfabetismo (%),Unidade da Federação,Bahia,Sexo,Total,Grupos de idade - analfabetismo,25 anos ou mais,16.2,15.8,15.6
Taxa de analfabetismo (%),Unidade da Federação,Bahia,Sexo,Total,Grupos de idade - analfabetismo,40 anos ou mais,23.3,22.7,22.3
